Time(Iteration),CLCB,CLCB_Attack
0,25,20
1,14,10
2,22,13
3,21,16
4,12,13
5,19,17
6,14,15
7,19,7
8,22,13
9,19,12
10,20,10
11,22,4
12,17,12
13,23,18
14,20,14
15,21,8
16,19,10
17,13,15
18,20,13
19,17,9
20,18,11
21,15,19
22,24,11
23,11,14
24,21,15
25,22,19
26,21,17
27,13,15
28,21,11
29,19,13
30,19,16
31,20,17
32,23,9
33,10,11
34,16,16
35,19,11
36,18,10
37,20,15
38,20,12
39,19,11
40,17,10
41,20,16
42,10,15
43,17,14
44,19,12
45,20,10
46,15,9
47,19,10
48,13,28
49,21,25
50,13,12
51,15,12
52,19,12
53,15,11
54,16,16
55,22,21
56,17,9
57,21,16
58,29,9
59,13,7
60,21,15
61,13,11
62,13,10
63,31,14
64,19,12
65,24,13
66,17,20
67,10,14
68,13,9
69,20,10
70,19,18
71,17,12
72,16,16
73,18,13
74,21,10
75,18,12
76,25,18
77,20,13
78,17,11
79,11,13
80,19,17
81,15,15
82,21,13
83,14,14
84,22,19
85,14,7
86,15,16
87,22,4
88,23,10
89,17,9
90,14,12
91,15,10
92,15,12
93,17,14
94,14,9
95,13,9
96,13,9
97,19,12
98,21,16
99,26,13
100,20,6
101,12,15
102,14,13
103,19,10
104,14,9
105,22,13
106,15,18
107,15,10
108,15,10
109,15,17
