Time(Iteration),CLCB_Attack,CLCB
0,25,20
1,16,15
2,17,19
3,8,19
4,11,15
5,14,22
6,12,26
7,15,21
8,14,17
9,9,24
10,5,17
11,18,12
12,10,20
13,14,22
14,7,19
15,11,14
16,10,16
17,13,17
18,20,12
19,9,11
20,13,15
21,9,18
22,16,20
23,3,22
24,7,16
25,10,22
26,14,21
27,10,23
28,18,15
29,14,16
30,16,16
31,14,22
32,16,16
33,11,24
34,14,20
35,18,15
36,12,14
37,11,20
38,15,13
39,12,17
40,10,21
41,13,22
42,9,23
43,11,22
44,10,17
45,10,10
46,10,13
47,13,14
48,14,25
49,17,24
50,12,22
51,12,18
52,15,20
53,15,13
54,9,13
55,11,18
56,13,21
57,12,21
58,13,17
59,7,16
60,18,20
61,5,21
62,10,14
63,18,18
64,18,17
65,16,14
66,15,17
67,10,15
68,7,17
69,9,15
70,9,16
71,14,13
72,16,20
73,16,16
74,11,17
75,10,15
76,9,20
77,9,23
78,15,13
79,9,17
80,7,21
81,13,13
82,15,19
83,11,14
84,14,15
85,7,14
86,13,21
87,14,10
88,15,16
89,14,14
90,11,19
91,9,16
92,12,10
93,13,21
94,6,16
95,10,27
96,9,16
97,9,22
98,18,23
99,20,13
100,14,18
101,9,14
102,11,15
103,16,13
104,11,13
105,14,15
106,11,22
107,9,16
108,11,18
109,13,18
110,6,16
111,10,23
112,5,20
113,12,18
114,9,19
115,12,14
116,12,20
117,12,24
118,10,19
119,6,21
120,11,14
121,19,15
122,14,15
123,16,14
124,11,16
125,16,19
126,13,14
127,16,10
128,8,28
129,14,23
130,12,16
131,15,19
132,13,19
133,9,11
134,10,17
135,11,16
136,13,16
137,15,17
138,9,13
139,9,14
140,15,26
141,10,27
142,15,16
143,12,14
144,8,16
145,21,13
146,10,13
147,15,17
148,10,16
149,11,18
150,16,23
151,16,20
152,10,19
153,16,14
154,12,13
155,6,19
156,7,12
157,14,16
158,12,18
159,14,12
160,18,18
161,17,19
162,12,16
163,15,15
164,7,9
165,16,11
166,21,18
167,11,13
168,14,13
169,6,17
170,20,21
171,8,16
172,17,19
173,12,14
174,12,24
175,14,11
176,5,15
177,15,19
178,15,17
179,14,13
180,9,16
181,10,10
182,14,21
183,9,13
184,13,12
185,17,9
186,10,23
187,15,17
188,13,13
189,7,21
190,16,12
191,9,8
192,8,12
193,10,16
194,21,14
195,7,17
196,11,11
197,17,11
198,10,12
199,10,18
200,14,27
201,10,20
202,13,11
203,10,13
204,10,16
205,12,19
206,23,16
207,11,12
208,13,13
209,18,9
210,15,17
211,19,17
212,18,13
213,14,16
214,9,14
215,19,15
216,10,23
217,13,18
218,14,23
219,8,13
220,9,13
221,9,15
222,15,15
223,11,14
224,24,17
225,13,12
226,14,13
227,12,18
228,10,15
229,11,15
230,13,19
231,14,19
232,16,23
233,14,24
234,12,24
235,17,22
236,13,17
237,9,20
238,17,11
239,15,15
240,14,20
241,10,11
242,13,19
243,13,22
244,20,20
245,13,22
246,11,21
247,13,17
248,11,13
249,10,20
250,21,10
251,12,21
252,10,18
253,16,15
254,22,13
255,10,17
256,15,15
257,13,15
258,14,19
259,11,15
260,13,16
261,14,12
262,10,17
263,17,13
264,11,16
265,14,14
266,15,16
267,12,16
268,16,16
269,11,11
270,9,17
271,12,12
272,19,12
273,12,12
274,11,16
275,14,12
276,8,11
277,9,15
278,6,17
279,11,16
280,12,17
281,15,20
282,9,14
283,9,10
284,6,18
285,18,17
286,15,7
287,16,18
288,13,16
289,11,12
290,12,15
291,18,23
292,17,18
293,11,14
294,13,15
295,11,13
296,15,7
297,12,15
298,10,16
299,15,27
300,10,22
301,14,18
302,10,22
303,14,13
304,6,12
305,13,15
306,7,13
307,9,17
308,14,22
309,24,13
310,16,19
311,17,19
312,10,20
313,12,22
314,13,17
315,10,10
316,10,13
317,17,12
318,12,7
319,10,12
320,15,12
321,10,19
322,12,16
323,12,15
324,18,11
325,10,19
326,15,17
327,19,18
328,11,13
329,11,10
330,12,19
331,16,12
332,15,15
333,7,24
334,13,13
335,10,16
336,18,16
337,8,15
338,23,14
339,7,14
340,9,16
341,9,12
342,12,21
343,10,11
344,14,18
345,7,15
346,7,15
347,12,18
348,8,14
349,15,11
350,17,11
351,12,15
352,10,15
353,9,18
354,9,13
355,14,17
356,12,14
357,7,17
358,16,18
359,6,11
360,12,17
361,14,17
362,13,17
363,8,25
364,14,17
365,19,11
366,15,12
367,14,18
368,16,15
369,12,21
370,16,15
371,10,22
372,7,14
373,13,8
374,13,11
375,17,16
376,13,16
377,17,7
378,15,19
379,21,12
380,13,10
381,11,16
382,12,16
383,14,18
384,15,15
385,13,18
386,14,16
387,17,15
388,7,12
389,8,17
390,12,15
391,13,18
392,10,16
393,13,14
394,14,22
395,6,13
396,8,19
397,11,13
398,9,7
399,15,24
400,12,16
401,14,12
402,11,15
403,16,19
404,7,15
405,11,16
406,12,18
407,14,10
408,12,13
409,10,18
410,5,15
411,14,20
412,18,14
413,9,17
414,10,23
415,11,7
416,10,11
417,11,10
418,11,13
419,12,23
420,10,23
421,10,9
422,4,15
423,13,17
424,16,19
425,9,22
426,10,16
427,13,16
428,13,8
429,11,15
430,10,15
431,12,14
432,12,13
433,16,13
434,9,17
435,13,19
436,15,23
437,15,15
438,16,16
439,10,20
440,17,14
441,13,12
442,13,16
443,11,15
444,11,23
445,14,16
446,9,16
447,10,12
448,9,19
449,11,15
450,18,16
451,13,10
452,11,14
453,13,14
454,15,20
455,6,13
456,11,23
457,12,19
458,15,26
459,11,15
460,15,11
461,11,15
462,10,11
463,11,18
464,12,20
465,12,20
466,7,22
467,21,14
468,12,16
469,16,22
470,6,9
471,8,22
472,17,12
473,7,17
474,9,16
475,16,15
476,9,13
477,15,14
478,12,20
479,12,16
480,13,13
481,12,16
482,14,22
483,11,21
484,10,8
485,8,20
486,17,24
487,8,23
488,16,14
489,16,15
490,10,17
491,12,17
492,8,10
493,14,15
494,20,11
495,9,12
496,5,19
497,17,13
498,17,9
499,11,13
500,12,19
501,10,17
502,7,13
503,19,8
504,15,18
505,14,13
506,13,17
507,15,18
508,11,12
509,12,9
510,14,9
511,14,14
512,14,15
513,10,15
514,13,18
515,8,17
516,18,16
517,13,14
518,14,23
519,17,19
520,15,15
521,20,15
522,16,13
523,16,15
524,9,11
525,9,21
526,17,16
527,13,21
528,13,15
529,17,15
530,6,13
531,13,17
532,14,15
533,12,15
534,19,14
535,12,12
536,9,14
537,13,19
538,15,11
539,16,12
540,17,23
541,11,20
542,15,12
543,11,11
544,14,15
545,10,19
546,11,16
547,16,12
548,8,16
549,6,11
550,12,12
551,10,19
552,15,15
553,7,12
554,8,19
555,16,20
556,12,15
557,24,16
558,10,15
559,18,16
560,23,13
561,13,16
562,11,15
563,10,14
564,19,14
565,11,17
566,14,12
567,12,15
568,10,8
569,8,10
570,15,20
571,25,12
572,12,20
573,9,9
574,15,15
575,12,10
576,13,13
577,17,18
578,16,16
579,11,13
580,17,17
581,14,19
582,11,13
583,17,23
584,8,15
585,9,11
586,8,17
587,17,12
588,16,8
589,15,17
590,5,14
591,13,10
592,18,19
593,11,15
594,10,17
595,21,11
596,12,20
597,12,20
598,16,18
599,16,15
600,14,14
601,10,12
602,9,21
603,12,20
604,11,16
605,9,10
606,13,14
607,10,18
608,16,19
609,16,11
610,13,13
611,11,5
612,15,16
613,13,11
614,16,13
615,11,20
616,11,10
617,10,17
618,18,12
619,8,12
620,14,20
621,9,17
622,12,17
623,14,13
624,13,16
625,11,18
626,9,18
627,11,14
628,15,14
629,11,19
630,14,14
631,12,15
632,8,13
633,14,12
634,9,12
635,12,8
636,10,16
637,7,16
638,21,18
639,19,19
640,12,14
641,10,12
642,20,13
643,4,16
644,12,18
645,17,17
646,20,12
647,12,13
648,13,15
649,7,14
650,10,16
651,13,12
652,15,15
653,14,7
654,13,10
655,12,14
656,15,22
657,14,15
658,10,16
659,10,15
660,7,18
661,11,13
662,15,11
663,12,10
664,15,18
665,10,9
666,11,20
667,12,13
668,11,14
669,16,19
670,14,9
671,15,15
672,8,18
673,18,16
674,11,20
675,14,13
676,14,15
677,12,18
678,11,16
679,13,15
680,16,11
681,15,11
682,16,17
683,11,17
684,16,16
685,14,19
686,10,13
687,10,22
688,12,14
689,9,13
690,6,13
691,10,20
692,6,14
693,13,12
694,12,19
695,22,19
696,7,21
697,6,19
698,12,12
699,15,11
700,14,13
701,15,20
702,12,9
703,14,9
704,10,15
705,12,14
706,11,15
707,8,12
708,13,16
709,16,14
710,12,10
711,18,19
712,15,18
713,18,16
714,16,12
715,13,12
716,14,17
717,11,12
718,10,13
719,16,12
720,14,13
721,8,11
722,9,13
723,17,16
724,14,15
725,11,12
726,11,17
727,17,13
728,8,24
729,5,13
730,13,14
731,19,16
732,14,17
733,16,16
734,16,26
735,19,11
736,17,21
737,8,15
738,10,13
739,12,19
740,13,11
741,11,19
742,12,17
743,21,14
744,14,9
745,12,17
746,13,11
747,14,22
748,9,14
749,8,13
750,14,18
751,8,14
752,17,13
753,14,16
754,11,7
755,10,19
756,10,10
757,19,10
758,17,10
759,16,6
760,13,15
761,12,23
762,14,18
763,8,13
764,15,9
765,15,18
766,17,17
767,11,19
768,8,22
769,14,16
770,8,12
771,13,16
772,10,16
773,11,15
774,12,15
775,17,20
776,8,11
777,22,16
778,8,13
779,15,13
780,13,14
781,10,14
782,15,8
783,14,17
784,15,9
785,11,16
786,12,19
787,8,12
788,10,20
789,10,14
790,19,17
791,21,14
792,5,20
793,7,19
794,10,14
795,11,13
796,12,17
797,17,18
798,16,18
799,14,13
800,8,14
801,12,13
802,15,7
803,10,18
804,6,14
805,12,20
806,6,14
807,9,15
808,15,6
809,9,23
810,15,13
811,18,14
812,15,21
813,12,11
814,6,12
815,13,15
816,8,16
817,13,13
818,12,16
819,10,9
820,21,15
821,7,18
822,19,13
823,17,15
824,11,19
825,9,8
826,7,24
827,5,17
828,11,17
829,16,17
830,21,12
831,10,18
832,12,13
833,9,18
834,12,13
835,11,10
836,10,16
837,12,12
838,6,14
839,7,21
840,12,14
841,10,19
842,14,16
843,12,13
844,13,15
845,15,13
846,8,11
847,7,20
848,12,13
849,13,14
850,16,21
851,9,13
852,11,16
853,15,23
854,10,17
855,11,17
856,18,13
857,11,13
858,17,15
859,12,13
860,11,7
861,13,9
862,15,12
863,8,14
864,16,7
865,15,24
866,13,12
867,12,13
868,19,9
869,17,12
870,12,10
871,16,19
872,11,19
873,12,14
874,9,12
875,10,22
876,12,22
877,11,12
878,9,12
879,14,13
880,8,13
881,4,16
882,10,9
883,12,23
884,12,10
885,13,19
886,21,13
887,8,17
888,9,18
889,14,10
890,13,16
891,11,16
892,6,15
893,20,13
894,13,13
895,11,20
896,5,7
897,8,15
898,9,12
899,14,13
900,10,18
901,15,13
902,6,15
903,17,13
904,13,13
905,15,19
906,14,22
907,16,21
908,11,20
909,10,17
910,14,19
911,11,14
912,12,16
913,9,12
914,16,15
915,13,14
916,16,9
917,16,11
918,4,9
919,14,21
920,15,11
921,13,21
922,7,16
923,11,12
924,5,6
925,11,12
926,13,9
927,17,17
928,13,15
929,8,13
930,13,14
931,7,20
932,12,15
933,16,19
934,17,17
935,7,14
936,7,20
937,12,8
938,10,20
939,8,17
940,14,10
941,12,13
942,10,11
943,9,15
944,8,13
945,8,15
946,12,15
947,15,14
948,17,14
949,13,15
950,10,12
951,19,18
952,12,21
953,8,11
954,18,19
955,9,13
956,15,16
957,14,17
958,18,16
959,15,18
960,12,12
961,11,11
962,8,15
963,12,11
964,15,17
965,12,19
966,17,14
967,6,19
968,12,21
969,13,15
970,11,13
971,8,14
972,16,18
973,13,8
974,15,12
975,18,18
976,14,17
977,10,8
978,13,20
979,8,14
980,11,16
981,11,15
982,15,23
983,14,18
984,12,18
985,4,14
986,11,15
987,15,13
988,11,10
989,11,17
990,16,9
991,12,13
992,10,17
993,17,18
994,9,18
995,17,16
996,12,10
997,14,16
998,12,12
999,9,16
1000,11,12
1001,11,23
1002,15,12
1003,10,11
1004,10,17
1005,12,17
1006,19,6
1007,11,16
1008,13,10
1009,12,18
1010,12,13
1011,7,11
1012,11,17
1013,12,16
1014,12,11
1015,18,8
1016,13,20
1017,10,12
1018,14,10
1019,15,15
1020,11,10
1021,13,14
1022,11,20
1023,9,14
1024,10,20
1025,6,24
1026,13,14
1027,9,14
1028,13,10
1029,14,22
1030,11,24
1031,9,24
1032,13,17
1033,10,14
1034,19,17
1035,12,19
1036,19,11
1037,9,16
1038,16,12
1039,11,22
1040,14,24
1041,16,13
1042,12,9
1043,11,16
1044,15,20
1045,14,12
1046,7,19
1047,20,9
1048,19,16
1049,12,15
1050,12,14
1051,15,18
1052,10,16
1053,9,12
1054,11,18
1055,6,13
1056,14,20
1057,18,18
1058,13,14
1059,20,13
1060,15,15
1061,12,13
1062,11,19
1063,10,19
1064,11,9
1065,19,12
1066,11,11
1067,10,8
1068,4,15
1069,13,9
1070,13,10
1071,12,11
1072,4,13
1073,15,17
1074,10,17
1075,10,19
1076,7,12
1077,17,11
1078,10,14
1079,9,10
1080,13,17
1081,8,15
1082,12,23
1083,10,14
1084,12,12
1085,11,20
1086,20,16
1087,11,14
1088,18,12
1089,9,18
1090,13,19
1091,18,19
1092,17,10
1093,11,13
1094,8,18
1095,12,18
1096,17,20
1097,12,17
1098,16,11
1099,11,18
1100,8,19
1101,17,12
1102,18,15
1103,10,17
1104,11,12
1105,14,10
1106,6,16
1107,11,11
1108,18,15
1109,12,13
1110,14,16
1111,14,16
1112,6,22
1113,12,18
1114,5,17
1115,10,14
1116,15,20
1117,9,15
1118,11,16
1119,14,17
