Time(Iteration),CUCB,CUCB_Attack
0,288,263
1,279,276
2,276,264
3,272,270
4,274,316
5,282,282
6,278,288
7,280,289
8,287,295
9,290,296
10,301,294
11,300,324
12,296,307
13,304,309
14,295,309
15,304,321
16,296,321
17,299,313
18,295,310
19,311,316
20,306,332
21,299,317
22,305,306
23,304,321
24,292,333
25,302,332
26,310,328
27,302,331
28,314,323
29,316,315
30,307,343
31,313,336
32,312,332
33,311,326
34,306,322
35,307,305
36,321,304
37,315,337
38,318,331
39,305,341
40,310,326
41,307,342
42,303,336
43,314,317
44,327,325
45,303,323
46,311,326
47,307,329
48,314,354
49,312,327
50,313,331
51,306,334
52,317,328
53,302,325
54,316,323
55,315,318
56,310,326
57,311,333
58,312,322
59,308,330
60,315,312
61,313,330
62,315,329
63,317,328
64,320,342
65,311,342
66,313,350
67,311,332
68,318,347
69,317,327
70,313,334
71,314,340
72,318,311
73,315,321
74,301,344
75,309,353
76,319,324
77,314,337
78,316,360
79,305,340
80,314,351
81,312,330
82,322,341
83,307,333
84,303,328
85,315,328
86,312,324
87,302,332
88,321,327
89,309,345
90,310,338
91,314,324
92,312,333
93,326,329
94,315,335
95,314,360
96,312,330
97,315,351
98,313,322
99,310,329
100,317,320
101,316,322
102,315,357
103,316,331
104,306,346
105,310,343
106,314,336
107,317,327
108,313,340
109,317,346
110,310,314
111,316,361
112,322,336
113,314,341
114,316,327
115,317,315
116,325,331
117,313,331
118,309,360
119,316,323
120,318,329
121,313,355
122,313,322
123,312,350
124,328,348
125,322,358
126,307,328
127,315,331
128,317,351
129,319,340
130,303,338
131,310,345
132,312,347
133,310,328
134,310,319
135,322,335
136,318,316
137,320,334
138,313,338
139,319,323
140,322,341
141,316,349
142,312,339
143,311,352
144,317,350
145,307,352
146,311,358
147,306,340
148,322,342
149,306,345
150,304,348
151,324,349
152,310,335
153,316,343
154,307,356
155,316,353
156,313,348
157,310,345
158,307,352
159,312,357
160,317,360
161,319,342
162,312,366
163,314,380
164,317,350
165,314,339
166,311,329
167,304,340
168,314,343
169,320,329
170,316,369
171,314,362
172,314,345
173,315,354
174,312,339
175,315,344
176,324,346
177,318,361
178,312,346
179,307,350
180,320,314
181,318,369
182,300,347
183,315,361
184,304,359
185,312,334
186,310,348
187,315,336
188,307,339
189,306,345
190,322,325
191,311,344
192,314,359
193,315,356
194,322,357
195,316,346
196,314,361
197,314,344
198,315,346
199,315,349
