Time(Iteration),CUCB,CUCB_Attack
0,504,455
1,468,474
2,497,556
3,453,568
4,488,599
5,452,549
6,492,583
7,497,537
8,479,574
9,515,601
10,455,591
11,442,594
12,507,531
13,459,594
14,506,588
15,478,625
16,473,523
17,500,581
18,494,539
19,472,576
20,509,569
21,469,567
22,465,538
23,474,547
24,476,499
25,506,514
26,448,565
27,475,528
28,475,514
29,510,551
30,484,572
31,498,542
32,480,545
33,530,536
34,493,511
35,474,529
36,491,524
37,483,567
38,437,516
39,492,484
40,499,540
41,481,487
42,501,530
43,472,514
44,475,542
45,459,541
46,457,537
47,432,528
48,462,546
49,481,540
50,483,566
51,530,513
52,491,522
53,475,520
54,462,491
55,437,509
56,439,542
57,464,565
58,460,544
59,477,547
60,484,511
61,494,506
62,495,540
63,493,522
64,495,497
65,506,514
66,470,511
67,472,548
68,484,504
69,466,543
70,484,531
71,482,528
72,463,493
73,502,513
74,504,500
75,508,524
76,488,518
77,481,498
78,467,469
79,483,512
80,486,533
81,518,509
82,500,520
83,487,506
84,487,534
85,535,539
86,479,526
87,493,499
88,514,516
89,466,532
90,446,522
91,476,516
92,489,478
93,481,481
94,512,558
95,482,521
96,497,529
97,476,523
98,491,519
99,507,498
100,508,482
101,454,521
102,461,523
103,490,525
104,476,519
105,507,519
106,465,476
107,446,539
108,481,499
109,447,543
110,462,522
111,527,499
112,474,546
113,455,460
114,538,517
115,472,527
116,476,482
117,457,502
118,488,503
119,464,494
120,485,529
121,497,528
122,471,462
123,451,517
124,468,545
125,443,495
126,516,568
127,461,528
128,469,504
129,435,534
130,451,460
131,459,482
132,528,522
133,464,541
134,469,546
135,443,485
136,489,552
137,482,542
138,465,529
139,479,499
140,483,535
141,481,544
142,480,510
143,478,477
144,491,515
145,475,536
146,520,516
147,464,512
148,450,504
149,469,524
150,501,487
151,474,512
152,487,490
153,495,536
154,515,480
155,484,491
156,541,476
157,463,529
158,486,522
159,478,493
160,474,525
161,492,483
162,503,522
163,511,508
164,464,531
165,471,489
166,481,476
167,434,519
168,484,478
169,496,490
170,498,532
171,489,511
172,482,481
173,472,511
174,486,498
175,486,553
176,503,536
177,481,505
178,471,553
179,491,506
180,450,532
181,484,493
182,473,540
183,477,493
184,487,449
185,447,476
186,497,538
187,499,496
188,460,530
189,511,497
190,473,521
191,494,519
192,463,519
193,442,511
194,500,472
195,471,495
196,467,498
197,468,492
198,488,536
199,467,533
200,496,535
201,500,524
202,446,528
203,515,514
204,470,504
205,536,507
206,479,534
207,472,515
208,463,514
209,475,488
210,453,495
211,464,543
212,491,497
213,504,523
214,486,520
215,448,517
216,481,503
217,486,496
218,495,528
219,491,519
220,475,492
221,505,512
222,499,485
223,512,501
224,517,547
225,502,498
226,501,514
