Time(Iteration),CUCB,CUCB_Attack
0,73,72
1,73,78
2,88,88
3,96,98
4,97,96
5,100,103
6,99,99
7,103,99
8,106,106
9,108,110
10,116,108
11,111,114
12,110,107
13,118,102
14,112,108
15,120,113
16,115,124
17,110,111
18,114,111
19,112,112
20,116,117
21,110,125
22,113,100
23,117,110
24,106,115
25,113,117
26,119,114
27,114,113
28,113,120
29,114,123
30,110,114
31,115,118
32,113,113
33,113,111
34,114,118
35,117,114
36,116,110
37,113,114
38,118,112
39,115,103
40,118,103
41,115,112
42,114,108
43,118,110
44,117,106
45,113,113
46,112,112
47,110,122
48,119,116
49,115,119
50,115,120
51,112,111
52,111,114
53,119,117
54,113,100
55,116,116
56,113,128
57,112,108
58,122,110
59,123,116
60,122,108
61,125,109
62,128,112
63,124,104
64,125,118
65,123,118
66,127,114
67,129,118
68,131,121
69,128,117
70,129,112
71,127,113
72,124,113
73,132,111
74,125,108
75,127,122
76,128,118
77,130,107
78,128,123
79,132,109
80,133,100
81,127,117
82,126,126
83,121,101
84,128,113
85,125,121
86,127,118
87,130,115
88,128,116
89,131,114
90,129,114
91,127,110
92,126,114
93,129,116
94,125,125
95,130,97
96,132,114
97,124,110
98,121,105
99,123,103
