Time(Iteration),CascadeUCB-V-Attack,CascadeUCB1-Attack,CascadeKLUCB-Attack
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,0,0,0
48,0,0,0
49,0,0,0
50,0,0,0
51,0,0,0
52,0,0,0
53,0,0,0
54,0,0,0
55,0,0,0
56,0,0,0
57,0,0,0
58,0,0,0
59,0,0,0
60,0,0,0
61,0,0,0
62,0,0,1
63,0,0,1
64,0,0,1
65,0,0,1
66,0,0,1
67,0,0,1
68,0,0,1
69,0,0,1
70,0,0,1
71,0,0,1
72,0,0,1
73,0,0,1
74,0,0,1
75,0,0,1
76,0,0,1
77,0,0,1
78,0,0,1
79,0,0,1
80,0,0,1
81,0,0,1
82,0,0,1
83,0,0,1
84,0,0,1
85,0,0,1
86,0,0,1
87,0,0,1
88,0,0,1
89,0,0,1
90,0,0,1
91,0,0,1
92,0,0,1
93,0,0,1
94,0,0,1
95,0,0,1
96,0,0,1
97,0,0,1
98,0,0,1
99,0,0,1
100,0,0,1
101,0,0,1
102,0,0,1
103,0,0,1
104,0,0,1
105,0,0,1
106,0,0,1
107,0,0,1
108,0,0,1
109,0,0,1
110,0,0,1
111,0,0,1
112,0,0,1
113,0,0,1
114,0,0,1
115,0,0,1
116,0,0,1
117,0,0,1
118,0,0,1
119,0,0,1
120,0,0,1
121,0,0,1
122,0,0,1
123,0,0,1
124,0,0,1
125,0,0,1
126,0,0,1
127,0,0,1
128,0,0,1
129,0,0,1
130,0,0,1
131,0,0,1
132,0,0,1
133,0,0,1
134,0,0,1
135,0,0,1
136,0,0,1
137,0,0,1
138,0,0,1
139,0,0,1
140,0,0,1
141,0,0,1
142,0,0,1
143,0,0,1
144,0,0,1
145,0,0,1
146,0,0,1
147,0,0,1
148,0,0,1
149,0,0,2
150,0,0,2
151,0,0,2
152,0,0,2
153,0,0,2
154,0,0,2
155,0,0,2
156,0,0,2
157,0,0,2
158,0,0,2
159,0,0,2
160,0,0,2
161,0,0,2
162,0,0,2
163,0,0,2
164,0,0,2
165,0,0,2
166,0,0,2
167,0,0,2
168,0,0,2
169,0,0,2
170,0,0,3
171,0,0,3
172,0,0,3
173,0,0,3
174,0,0,3
175,0,0,3
176,0,0,3
177,0,0,3
178,0,0,3
179,0,0,3
180,0,0,3
181,0,0,3
182,0,0,3
183,0,0,3
184,0,0,3
185,0,0,3
186,0,0,3
187,0,0,3
188,0,0,3
189,0,0,3
190,0,0,3
191,0,0,3
192,0,0,3
193,0,0,3
194,0,0,3
195,0,0,3
196,0,0,3
197,0,0,3
198,0,0,3
199,0,0,3
200,0,0,3
201,0,0,3
202,0,0,3
203,0,0,3
204,0,0,3
205,0,0,3
206,0,0,3
207,0,0,3
208,0,0,3
209,0,0,3
210,0,0,3
211,0,0,4
212,0,0,5
213,0,0,6
214,0,0,7
215,0,0,8
216,0,0,8
217,0,0,8
218,0,0,8
219,0,0,8
220,0,0,8
221,0,0,8
222,0,0,8
223,0,0,8
224,0,0,8
225,0,0,8
226,0,0,8
227,0,0,8
228,0,0,8
