Time(Iteration),CUCB_Attack
0,7
1,13
2,16
3,19
4,22
5,24
6,26
7,26
8,32
9,35
10,38
11,39
12,42
13,43
14,49
15,53
16,55
17,60
18,63
19,66
20,66
21,73
22,77
23,84
24,91
25,94
26,94
27,94
28,96
29,101
30,104
31,106
32,108
33,109
34,111
35,117
36,119
37,125
38,127
39,129
40,135
41,137
42,138
43,143
44,144
45,150
46,157
47,164
48,165
49,168
50,170
51,178
52,180
53,182
54,188
55,190
56,193
57,196
58,197
59,200
60,201
61,206
62,206
63,211
64,213
65,216
66,223
67,231
68,236
69,237
70,242
71,249
72,249
73,251
74,252
75,254
76,258
77,260
78,265
79,268
80,272
81,273
82,275
83,278
84,280
85,282
86,284
87,287
88,291
89,293
90,297
91,299
92,305
93,305
94,309
95,312
96,312
97,314
98,315
99,316
100,322
101,323
102,328
103,334
104,338
105,343
106,343
107,346
108,348
109,349
110,356
111,356
112,358
113,359
114,361
115,365
116,368
117,369
118,373
119,374
120,375
121,377
122,381
123,385
124,391
125,392
126,393
127,395
128,397
129,401
130,405
131,410
132,412
133,412
134,418
135,421
136,423
137,427
138,428
139,431
140,433
141,437
142,439
143,440
144,441
145,442
146,444
147,445
148,448
149,450
150,453
151,456
152,457
153,459
154,461
155,466
156,468
157,469
158,473
159,479
160,480
161,485
162,492
163,498
164,499
165,505
166,508
167,510
168,511
169,517
170,519
171,519
172,522
173,528
174,530
175,532
176,533
177,535
178,541
179,541
180,545
181,548
182,550
183,550
184,554
185,559
186,560
187,561
188,566
189,574
190,576
191,582
192,585
193,585
194,587
195,589
196,590
197,592
198,596
199,598
200,598
201,599
202,602
203,602
204,606
205,611
206,612
207,614
208,617
209,618
210,619
211,619
212,623
213,625
214,630
215,633
216,635
217,637
218,641
219,643
220,646
221,647
222,655
223,660
224,661
225,661
226,665
227,666
228,671
229,672
230,675
231,680
232,682
233,686
234,688
235,693
236,697
237,700
238,701
239,703
240,706
241,706
242,709
243,714
244,718
245,720
246,722
247,724
248,731
249,732
250,739
251,741
252,742
253,744
254,748
255,750
256,752
257,754
258,757
259,759
260,760
261,764
262,765
263,766
264,767
265,771
266,774
267,778
268,783
269,785
270,791
271,797
272,803
273,808
274,813
275,818
276,819
277,820
278,820
279,823
280,825
281,826
282,830
283,832
284,835
285,838
286,839
287,840
288,841
289,844
290,848
291,851
292,855
293,856
294,862
295,864
296,865
297,868
298,871
299,874
300,876
301,883
302,885
303,887
304,888
305,890
306,892
307,895
308,900
309,905
310,908
311,911
312,916
313,917
314,919
315,920
316,921
317,921
318,927
319,930
320,932
321,935
322,938
323,940
324,941
325,944
326,946
327,949
328,952
329,953
330,957
331,957
332,960
333,962
334,964
335,967
336,972
337,978
338,979
339,981
340,984
341,987
342,989
343,994
344,996
345,998
346,1002
347,1003
348,1005
349,1007
350,1008
351,1011
352,1013
353,1015
354,1017
355,1023
356,1023
357,1029
358,1031
359,1033
360,1035
361,1042
362,1044
363,1046
364,1049
365,1049
366,1052
367,1054
368,1057
369,1058
370,1060
371,1062
372,1066
373,1070
374,1072
375,1073
376,1075
377,1080
378,1081
379,1085
380,1088
381,1092
382,1094
383,1098
384,1101
385,1107
386,1114
387,1116
388,1119
389,1122
390,1124
391,1125
392,1129
393,1135
394,1141
395,1144
396,1146
397,1148
