Time(Iteration),CUCB_Attack_prop=1,CUCB_Attack_prop=2,CUCB_Attack_prop=3,CUCB
0,11,10,23,16
1,13,10,15,21
2,22,13,9,8
3,11,27,7,14
4,27,22,27,20
5,28,18,15,16
6,17,19,18,18
7,17,24,21,15
8,16,25,25,16
9,13,22,21,12
10,19,25,19,21
11,13,20,18,22
12,12,19,18,20
13,14,13,19,27
14,12,16,19,26
15,12,11,20,24
16,11,21,21,28
17,12,20,17,28
18,25,14,16,22
19,15,13,26,20
20,18,12,19,24
21,13,11,22,29
22,20,12,19,24
23,10,11,20,23
24,21,18,24,23
25,13,10,18,23
26,18,17,17,28
27,17,12,19,25
28,22,11,18,26
29,12,17,20,28
30,13,23,23,22
31,13,15,21,20
32,17,12,27,21
33,11,18,23,30
34,20,10,16,24
35,14,14,23,27
36,16,14,16,24
37,15,13,18,25
38,10,12,18,21
39,11,13,20,21
40,21,12,21,26
41,19,16,19,22
42,16,13,19,23
43,16,13,19,20
44,12,13,20,20
45,11,13,26,20
46,10,12,19,24
47,19,15,22,25
48,21,15,20,30
49,20,12,17,20
50,11,15,19,21
51,20,17,22,24
52,17,15,18,21
53,12,10,22,18
54,12,13,17,22
55,12,13,27,21
56,17,10,21,23
57,18,22,18,27
58,14,12,19,25
59,23,21,22,19
60,14,12,18,28
61,17,11,20,20
62,14,14,22,22
63,13,14,17,23
64,13,16,21,21
65,16,20,19,21
66,12,21,24,23
67,13,15,21,29
68,14,16,18,23
69,14,14,20,25
70,14,15,19,28
71,15,10,18,28
72,15,14,20,26
73,12,12,19,20
74,10,10,21,20
75,15,12,18,28
76,14,10,19,24
77,11,17,18,26
78,13,10,18,29
79,16,17,20,24
80,10,15,19,23
81,21,13,25,31
82,24,14,21,21
83,16,25,21,22
84,19,11,24,21
85,17,13,21,24
86,14,16,23,26
87,11,10,22,24
88,11,14,23,27
89,13,10,22,23
90,15,13,21,26
91,17,14,19,22
92,12,10,20,20
93,15,19,20,23
94,13,21,23,20
