Time(Iteration),CUCB_Attack,CUCB
0,20,9
1,24,10
2,12,9
3,15,26
4,14,8
5,20,22
6,10,28
7,18,9
8,23,12
9,19,13
10,19,16
11,13,31
12,23,19
13,19,23
14,27,27
15,27,30
16,17,24
17,29,32
18,20,31
19,20,23
20,14,26
21,29,23
22,21,17
23,23,23
24,27,29
25,28,23
26,18,22
27,17,26
28,20,24
29,16,23
30,19,24
31,18,25
32,16,22
33,15,27
34,20,25
35,21,27
36,25,24
37,23,22
38,21,24
39,20,23
40,25,29
41,22,24
42,19,19
43,27,26
44,21,25
45,29,22
46,26,22
47,25,20
48,24,23
49,19,27
50,24,26
51,24,24
52,22,25
53,20,25
54,27,30
55,16,24
56,13,20
57,23,22
58,21,23
59,23,24
60,22,26
61,17,24
62,16,26
63,20,26
64,21,20
65,26,21
66,23,29
67,22,28
68,18,23
69,23,23
70,22,20
71,32,20
72,18,25
73,21,23
74,16,25
75,18,21
76,29,25
77,17,23
78,24,24
79,21,28
80,23,30
81,26,33
82,22,20
83,29,26
84,20,23
85,21,23
86,21,19
87,21,30
88,22,29
89,17,23
90,24,31
91,19,21
92,19,29
93,18,19
94,15,22
95,15,30
96,21,20
97,19,24
98,19,22
99,17,29
100,27,22
101,23,31
102,25,25
103,21,20
104,21,26
105,19,28
106,22,23
107,24,30
108,22,21
109,26,29
110,28,25
111,21,20
112,17,32
113,22,23
114,16,24
115,17,19
116,24,23
117,20,24
118,15,19
119,20,21
120,18,27
121,24,27
122,22,21
123,23,25
124,24,25
125,20,22
126,29,32
127,25,23
128,20,28
129,23,27
130,22,28
131,22,23
132,21,28
133,18,31
134,24,19
135,21,27
136,19,19
137,20,20
138,19,25
139,15,23
140,20,24
141,15,23
142,25,22
143,19,21
144,17,26
145,18,29
146,21,22
147,19,22
148,17,28
149,17,33
150,22,21
151,18,24
152,23,24
153,16,24
154,17,33
155,23,19
156,18,34
157,22,29
158,25,19
159,21,18
160,17,19
161,22,20
162,26,20
163,24,19
164,16,28
165,20,21
166,21,26
167,18,33
168,19,24
169,25,37
170,29,22
171,21,27
172,19,15
173,29,31
174,22,27
175,24,27
176,19,36
177,19,20
178,27,30
179,19,23
180,23,27
181,25,19
182,13,22
183,19,25
184,18,22
185,20,33
186,14,26
187,20,20
188,22,30
189,31,21
190,19,26
191,22,33
192,24,26
193,23,29
194,21,22
195,24,26
196,21,24
197,25,32
198,27,19
199,21,25
200,21,30
201,17,23
202,14,22
203,16,23
204,22,29
205,23,28
206,14,25
207,16,20
208,18,23
209,17,36
210,21,20
211,23,26
212,16,27
213,24,23
214,17,33
215,20,21
216,24,25
217,25,20
218,21,20
219,25,23
220,18,24
221,19,20
222,29,23
223,25,31
224,17,17
225,19,23
226,22,30
227,13,21
228,25,29
229,18,28
230,15,29
231,24,23
232,20,18
233,22,27
234,20,20
235,29,33
236,26,28
237,18,25
238,17,20
239,19,31
240,24,24
241,20,28
242,33,21
243,28,26
244,22,31
245,17,20
246,22,22
247,21,23
248,24,25
249,17,32
250,30,23
251,28,22
252,22,27
253,20,23
254,22,27
255,18,22
256,24,26
257,20,23
258,18,21
259,22,21
260,19,23
261,18,19
262,14,34
263,23,17
264,14,26
265,21,26
266,18,27
267,23,22
268,20,26
269,20,34
270,20,23
271,23,21
272,25,26
273,28,24
274,22,20
275,31,30
276,17,24
277,24,30
278,15,29
279,22,19
280,15,28
281,28,28
282,14,26
283,15,27
284,17,26
285,19,22
286,18,26
287,19,22
288,19,20
289,17,31
290,14,23
291,20,18
292,19,21
293,26,32
294,24,25
295,14,25
296,21,19
297,18,27
298,18,29
299,21,21
300,18,28
301,30,28
302,19,27
303,20,23
304,17,32
305,22,20
306,30,22
307,21,22
308,26,24
309,22,25
310,24,26
311,28,23
312,26,26
313,31,21
314,23,19
315,18,25
316,20,26
317,15,24
318,21,18
319,25,25
320,13,23
321,16,23
322,20,21
323,19,24
324,19,24
325,16,22
326,25,21
327,14,24
328,27,21
329,16,27
330,25,20
331,18,34
332,22,24
333,19,26
334,24,26
335,21,26
336,19,27
337,32,27
338,20,30
339,23,28
340,18,26
341,19,29
342,24,27
343,29,22
344,14,32
345,30,20
346,19,30
347,23,25
348,19,21
349,17,29
350,20,34
351,28,30
352,16,28
353,17,28
354,29,29
355,21,27
356,19,25
357,27,27
358,18,18
359,24,24
360,18,23
361,27,26
362,16,21
363,22,22
364,23,25
365,16,20
366,24,20
367,17,21
368,21,36
369,17,28
370,22,21
371,23,22
372,21,26
373,23,22
374,14,21
375,21,22
376,21,30
377,27,30
378,18,22
379,23,26
380,17,29
381,22,19
382,28,29
383,25,20
384,14,27
385,27,26
386,24,25
387,18,28
388,16,23
389,24,22
390,19,29
391,19,19
392,25,24
393,35,32
394,20,31
395,15,27
396,21,32
397,22,26
