Time(Iteration),CUCB_Attack,Randomized CUCB_Attack
0,51,40
1,94,94
2,149,143
3,201,193
4,260,242
5,334,295
6,405,349
7,477,397
8,544,455
9,598,509
10,667,565
11,732,634
12,803,698
13,866,753
14,922,820
15,983,876
16,1035,941
17,1110,1020
18,1184,1073
19,1246,1134
20,1305,1186
21,1378,1241
22,1454,1308
23,1527,1365
24,1591,1426
25,1659,1503
26,1721,1561
27,1784,1623
28,1851,1689
29,1916,1748
30,1988,1810
31,2051,1867
32,2119,1919
33,2189,1977
34,2244,2043
35,2311,2093
36,2387,2149
37,2450,2205
38,2518,2266
39,2587,2323
40,2656,2386
41,2721,2441
42,2777,2505
43,2846,2561
44,2905,2618
45,2979,2674
46,3041,2724
47,3104,2773
48,3165,2826
49,3225,2872
50,3287,2936
51,3351,2984
52,3420,3038
53,3476,3089
54,3538,3140
55,3599,3191
56,3662,3243
57,3728,3295
58,3786,3346
59,3850,3407
60,3914,3462
61,3974,3524
62,4033,3578
63,4082,3637
64,4134,3690
65,4189,3748
66,4245,3810
67,4313,3870
68,4368,3929
69,4423,3980
70,4472,4040
71,4534,4104
72,4589,4158
73,4657,4217
74,4735,4273
75,4798,4337
76,4859,4394
77,4912,4444
78,4979,4501
79,5040,4556
80,5101,4606
81,5152,4663
82,5213,4714
83,5267,4773
84,5327,4832
85,5390,4871
86,5454,4934
87,5506,4999
88,5570,5052
89,5625,5106
90,5683,5147
91,5741,5200
92,5793,5259
93,5852,5305
94,5914,5360
95,5981,5424
96,6044,5478
97,6108,5543
98,6161,5603
99,6222,5665
