Time(Iteration),CUCB,CUCB_Attack,Randomized CUCB,Randomized CUCB_Attack
0,74,71,73,72
1,97,68,87,80
2,100,80,87,83
3,104,87,99,87
4,107,96,108,83
5,113,106,104,90
6,115,104,95,93
7,113,112,106,93
8,115,108,110,100
9,109,99,108,97
10,121,107,113,101
11,119,109,114,111
12,125,113,119,105
13,116,109,107,96
14,130,103,111,106
15,125,104,118,100
16,128,103,113,106
17,125,121,118,116
18,127,120,116,101
19,126,112,110,111
20,133,110,112,101
21,122,121,113,101
22,132,123,102,115
23,126,120,117,106
24,124,115,118,106
25,125,113,119,120
26,127,111,113,108
27,131,112,120,115
28,120,120,112,114
29,125,113,119,108
30,128,123,115,113
31,123,111,120,106
32,123,117,122,105
33,123,119,122,108
34,123,104,118,115
35,132,115,116,103
36,134,125,117,105
37,124,110,126,104
38,130,119,124,108
39,122,120,113,108
40,130,117,117,109
41,133,119,122,107
42,130,108,117,113
43,129,119,115,104
44,128,108,123,108
45,130,124,129,107
46,124,109,118,100
47,127,114,119,99
48,129,111,110,103
49,138,113,118,95
50,136,117,119,113
51,133,120,121,101
52,132,125,119,101
53,128,110,125,103
54,131,115,116,105
55,133,115,120,106
56,130,111,115,102
57,136,122,117,103
58,139,113,117,103
59,125,115,117,112
60,130,115,115,103
61,136,113,122,113
62,124,116,118,105
63,131,102,121,106
64,134,105,109,104
65,133,109,118,104
66,130,108,121,111
67,129,121,110,107
68,132,111,113,105
69,133,109,124,104
70,131,103,122,106
71,130,117,124,115
72,128,112,120,107
73,133,120,124,110
74,134,130,120,104
75,133,113,121,113
76,127,116,122,107
77,129,107,119,99
78,125,113,122,107
79,123,116,119,105
80,125,111,117,101
81,136,108,124,103
82,130,120,117,101
83,135,110,112,110
84,133,119,110,108
85,128,116,119,93
86,129,121,117,111
87,132,108,127,113
88,135,119,118,105
89,128,110,117,105
90,135,114,125,91
91,130,110,119,101
92,128,105,121,109
93,134,114,119,99
94,130,114,114,101
95,129,125,122,118
96,131,113,125,105
97,132,116,113,114
98,133,110,129,112
99,140,113,117,112
