Time(Iteration),CLCB_Attack
0,500
1,781
2,960
3,1080
4,1160
5,1212
6,1245
7,1272
8,1295
9,1309
10,1321
11,1332
12,1341
13,1346
14,1353
15,1358
16,1365
17,1371
18,1377
19,1381
20,1383
21,1385
22,1388
23,1392
24,1401
25,1411
26,1415
27,1420
28,1423
29,1425
30,1427
31,1429
32,1430
33,1432
34,1434
35,1437
36,1438
37,1438
38,1438
39,1439
40,1440
41,1442
42,1443
43,1445
44,1447
45,1448
46,1448
47,1449
48,1451
49,1455
50,1457
51,1459
52,1463
53,1468
54,1474
55,1477
56,1478
57,1480
58,1480
59,1482
60,1483
61,1483
62,1483
63,1484
64,1484
65,1486
66,1486
67,1488
68,1489
69,1490
70,1492
71,1492
72,1494
73,1495
74,1496
75,1498
76,1502
77,1504
78,1505
79,1506
80,1507
81,1507
82,1508
83,1509
84,1511
85,1512
86,1512
87,1512
88,1512
89,1512
90,1512
91,1512
92,1513
93,1515
94,1516
95,1517
96,1518
97,1520
98,1522
99,1523
100,1525
101,1527
102,1530
103,1532
104,1534
105,1534
106,1534
107,1535
108,1535
109,1535
110,1536
111,1538
112,1540
113,1541
114,1541
115,1541
116,1542
117,1543
118,1545
119,1548
120,1551
121,1553
122,1553
123,1553
124,1553
125,1553
126,1553
127,1554
128,1555
129,1556
130,1556
131,1556
132,1556
133,1556
134,1557
135,1558
136,1559
137,1559
138,1559
139,1559
140,1559
141,1559
142,1559
143,1559
144,1561
145,1564
146,1567
147,1568
148,1569
149,1571
150,1573
151,1573
152,1573
153,1573
154,1573
155,1573
156,1574
157,1575
158,1575
159,1575
160,1576
161,1576
162,1576
163,1577
164,1577
165,1577
166,1577
167,1577
168,1577
169,1577
170,1577
171,1577
172,1577
173,1577
174,1578
175,1578
176,1578
177,1579
178,1579
179,1579
180,1579
181,1580
182,1580
183,1580
184,1580
185,1580
186,1580
187,1581
188,1582
189,1582
190,1582
191,1582
192,1583
193,1584
194,1584
195,1584
196,1584
197,1584
198,1584
199,1584
200,1585
201,1586
202,1586
203,1586
204,1586
205,1586
206,1586
207,1587
208,1588
209,1589
210,1589
211,1589
212,1589
213,1589
214,1589
215,1589
216,1589
217,1589
218,1589
219,1590
220,1590
221,1590
222,1590
223,1590
224,1591
225,1591
226,1591
227,1591
228,1591
229,1591
230,1592
231,1592
232,1593
233,1594
234,1595
235,1595
236,1595
237,1596
238,1596
239,1596
240,1596
241,1596
242,1596
243,1596
244,1596
245,1596
246,1596
247,1596
248,1596
249,1596
250,1596
251,1596
252,1597
253,1598
254,1598
255,1598
256,1598
257,1598
258,1599
259,1599
260,1599
261,1599
262,1599
263,1599
264,1600
265,1600
266,1600
267,1600
268,1600
269,1600
270,1600
271,1600
272,1600
273,1600
274,1600
275,1600
276,1600
277,1600
278,1600
279,1600
280,1600
281,1600
282,1600
283,1601
284,1601
285,1601
286,1601
287,1602
288,1602
289,1602
290,1603
291,1603
292,1603
293,1603
294,1603
295,1603
296,1603
297,1603
298,1603
299,1603
300,1603
301,1603
302,1603
303,1603
304,1603
305,1603
306,1603
307,1603
308,1603
309,1604
310,1604
311,1604
312,1604
313,1604
314,1604
